StationUniqueId,AreaName,Lat,Lon,Name
910GACTNCTL,AC,51.50862,-0.26351,Acton Central
910GACTONML,AC-B,51.51732,-0.26669,Acton Main Line
910GANERLEY,AcAne,51.41221,-0.06544,Anerley
910GBCKNHMH,Bus,51.42375,-0.01489,Beckenham Hill
910GBELNGHM,Entr,51.43278,-0.01948,Bellingham
910GBHILLPK,BRDGE,51.6413,-0.06916,Bush Hill Park
910GBICKLEY,Bus,51.39904,0.04665,Bickley
910GBKRVS,Bus,51.51865,0.12017,Barking Riverside
910GBNHAM,Bus,51.52341,-0.64623,Burnham
910GBRBY,Bus,51.54537,-0.20195,Brondesbury
910GBRBYPK,BUS,51.54067,-0.20958,Brondesbury Park
910GBRENTX,BusE,51.56822,-0.22401,Brent Cross West Station
910GBROCKLY,Brdge,51.4642,-0.03799,Brockley
910GBROMLYS,Bridg,51.39994,0.0193,Bromley South
910GBRTWOOD,EntA,51.61384,0.30015,Brentwood
910GBRUCGRV,Bus 1,51.5936,-0.06991,Bruce Grove
910GBTHNLGR,Entr,51.52389,-0.05948,Bethnal Green
910GCAMHTH,Bus,51.53253,-0.05759,Cambridge Heath
910GCATFORD,Entr,51.44415,-0.02634,Catford
910GCFPK,Bus,51.45457,-0.03742,Crofton Park
910GCHDWLHT,Bus,51.56826,0.12985,Chadwell Heath
910GCHESHNT,BRDGE,51.70286,-0.02379,Cheshunt
910GCHINGFD,Bus,51.6336,0.01031,Chingford
910GCLAPTON,Bus,51.56203,-0.05746,Clapton
910GCLDNNRB,Bus,51.54245,-0.11734,Caledonian Road & Barnsbury
910GCLPHHS,Entr,51.46508,-0.13199,Clapham High Street
910GCMDNRD,Bus,51.54177,-0.13836,Camden Road
910GCNNB,Bus,51.54928,-0.09266,Canonbury
910GCOLSDNS,BRIDG,51.31569,-0.13804,Coulsdon South
910GCRKLWD,Bus,51.55925,-0.21218,Cricklewood
910GCRLN,EntC,51.48697,0.0318,Charlton
910GCROUCHH,Bus,51.57111,-0.11719,Crouch Hill
910GCRPNDPK,Entr,51.62877,-0.38582,Carpenders Park
910GCRSHLTN,BusNS,51.36841,-0.16501,Carshalton
910GCTMSLNK,Bus,51.51669,-0.10342,City Thameslink
910GDALS,BUS D,51.54489,-0.07592,Dalston Junction
910GDALSKLD,Bus,51.54842,-0.07546,Dalston Kingsland
910GDARTFD,Bus,51.4466,0.21829,Dartford
910GDENMRKH,Bus,51.46789,-0.08922,Denmark Hill
910GDEPTFD,Entr,51.47902,-0.0261,Deptford
910GEDMNGRN,Bus,51.6252,-0.06204,Edmonton Green
910GELTR,Bus,51.65327,-0.27951,Elstree & Borehamwood
910GEMRSPKH,Bus,51.56908,0.2196,Emerson Park
910GENFLDTN,Bus,51.65238,-0.07842,Enfield Town
910GESTFLDS,Bus,51.40803,-0.15415,Mitcham Eastfields
910GFNCHLYR,Bus,51.55019,-0.18268,Finchley Road & Frognal
910GFORESTH,BRBG,51.43952,-0.05312,Forest Hill
910GFRSTGT,Bus,51.54952,0.02479,Forest Gate
910GGIDEAPK,Bus,51.58144,0.20601,Gidea Park
910GGODMAYS,Bus,51.56539,0.11039,Goodmayes
910GGOSPLOK,BCQ,51.55509,-0.15113,Gospel Oak
910GHACKNYC,Bus,51.54767,-0.05634,Hackney Central
910GHACKNYW,Bus,51.54317,-0.02542,Hackney Wick
910GHAGGERS,Entr,51.53847,-0.07559,Haggerston
910GHAKNYNM,Bus,51.54908,-0.06085,Hackney Downs
910GHANWELL,BHS,51.51197,-0.33843,Hanwell
910GHAYESAH,Bus,51.50334,-0.42068,Hayes & Harlington
910GHDON,Bridg,51.58006,-0.23879,Hendon
910GHEDSTNL,Bridg,51.60282,-0.35708,Headstone Lane
910GHERNEH,Bus,51.45258,-0.10278,Herne Hill
910GHGHMSPK,BRDG,51.60908,-0.00026,Highams Park
910GHKBG,EntC,51.37805,-0.15399,Hackbridge
910GHMPSTDH,Entr,51.55541,-0.16573,Hampstead Heath
910GHOMRTON,Entr,51.54697,-0.04235,Homerton
910GHONROPK,Bus,51.44964,-0.04509,Honor Oak Park
910GHOXTON,Bus,51.53102,-0.07517,Hoxton
910GHRGYGL,Bus,51.57749,-0.09871,Harringay Green Lanes
910GHRLDWOD,Bus,51.59327,0.23323,Harold Wood
910GHTCHEND,Bridg,51.60953,-0.36816,Hatch End
910GHYDNSRD,Bus,51.42492,-0.1899,Haydons Road
910GILFORD,Bus,51.55966,0.07002,Ilford
910GIVER,EntB,51.50874,-0.50631,Iver
910GKENR,Bridg,51.53467,-0.21962,Kensal Rise
910GKLBRNHR,Bus,51.5376,-0.19269,Kilburn High Road
910GKNTSHTW,Bus,51.54634,-0.14672,Kentish Town West
910GLANGLEY,Bus,51.50806,-0.54202,Langley
910GLBGHJN,Bus,51.4661,-0.10369,Loughborough Junction
910GLEYTNMR,Bus,51.56984,-0.00835,Leyton Midland Road
910GLONFLDS,EntMa,51.54102,-0.05818,London Fields
910GLYTNSHR,Bus,51.56321,0.00956,Leytonstone High Road
910GMANRPK,Bus,51.55215,0.0468,Manor Park
910GMAZEH,Bridg,51.48279,0.00308,Maze Hill
910GMDNHEAD,Bus,51.51858,-0.72252,Maidenhead
910GMLHB,Bus,51.61365,-0.24936,Mill Hill Broadway
910GMORDENS,Bus,51.39704,-0.20019,Morden South
910GMRYLAND,Bus,51.54645,0.00626,Maryland
910GNBARNET,Bus,51.64901,-0.17359,New Barnet
910GNEWSGAT,Bus,51.6152,-0.14341,New Southgate
910GNUNHEAD,BUS,51.46649,-0.05137,Nunhead
910GOKLGHPK,Bus,51.63728,-0.16644,Oakleigh Park
