UniqueId,Name,FareZones,HubNaptanCode,Wifi,OutsideStationUniqueId,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,PierInterchange,NationalRailInterchange,AirportInterchange,EmiratesAirLineInterchange
HUBABW,Abbey Wood,4,HUBABW,FALSE,HUBABW-Outside,FALSE,,FALSE,,,,,
910GACTNCTL,Acton Central,3,,TRUE,910GACTNCTL-Outside,FALSE,,FALSE,,,,,
910GACTONML,Acton Main Line,3,,FALSE,910GACTONML-Outside,FALSE,,FALSE,,,,,
910GANERLEY,Anerley,4,,TRUE,910GANERLEY-Outside,FALSE,,FALSE,,,,,
910GBCKNHMH,Beckenham Hill,4,,FALSE,910GBCKNHMH-Outside,FALSE,,FALSE,,,,,
910GBELNGHM,Bellingham,3,,FALSE,910GBELNGHM-Outside,FALSE,,FALSE,,,,,
910GBHILLPK,Bush Hill Park,5,,TRUE,910GBHILLPK-Outside,TRUE,2,FALSE,,,,,
910GBICKLEY,Bickley,5,,FALSE,910GBICKLEY-Outside,FALSE,,FALSE,,,,,
910GBNHAM,Burnham,Outside,,FALSE,910GBNHAM-Outside,FALSE,,FALSE,,,,,
910GBRBY,Brondesbury,2,,TRUE,910GBRBY-Outside,FALSE,,FALSE,,,,,
910GBRBYPK,Brondesbury Park,2,,FALSE,910GBRBYPK-Outside,FALSE,,FALSE,,,,,
910GBRENTX,Brent Cross West Station,3,,FALSE,910GBRENTX-Outside,FALSE,,FALSE,,,,,
910GBROCKLY,Brockley,2,,TRUE,910GBROCKLY-Outside,FALSE,,FALSE,,,,,
910GBROMLYS,Bromley South,5,,FALSE,910GBROMLYS-Outside,FALSE,,FALSE,,,,,
910GBRTWOOD,Brentwood,9,,TRUE,910GBRTWOOD-Outside,TRUE,17,FALSE,,,,,
910GBRUCGRV,Bruce Grove,3,,TRUE,910GBRUCGRV-Outside,FALSE,,FALSE,,,,,
910GBTHNLGR,Bethnal Green,2,,TRUE,910GBTHNLGR-Outside,FALSE,,FALSE,,,,,
910GCAMHTH,Cambridge Heath,2,,FALSE,910GCAMHTH-Outside,FALSE,,FALSE,,,,,
910GCATFORD,Catford,3,,FALSE,910GCATFORD-Outside,FALSE,,FALSE,,,,,
910GCFPK,Crofton Park,3,,FALSE,910GCFPK-Outside,FALSE,,FALSE,,,,,
910GCHDWLHT,Chadwell Heath,5,,FALSE,910GCHDWLHT-Outside,FALSE,,FALSE,,,,,
910GCHESHNT,Cheshunt,8,,TRUE,910GCHESHNT-Outside,TRUE,5,FALSE,,,Partial,,
910GCHINGFD,Chingford,5,,TRUE,910GCHINGFD-Outside,TRUE,3,FALSE,,,,,
910GCLAPTON,Clapton,2|3,,TRUE,910GCLAPTON-Outside,FALSE,,FALSE,,,,,
